PMCID,sentence_id,text,CONSORT_item,augment,methods
PMC3002766,S45,"Study design this double-blind, randomised, parallel-group, placebo-controlled study consisted of a ≤2-week screening period, a 24-week treatment period and an 8-week post-treatment follow-up period.",['3a'],0,
PMC3002766,S46,Study design the study was approved by local ethics committees and conducted in accordance with the amended declaration of helsinki.,['0'],0,
PMC3002766,S47,Study design all patients gave written informed consent.,['0'],0,
PMC3002766,S49,Settings and participants the study was conducted from october 2003 to may 2005 at 41 centres in europe and north america.,['4b'],0,
PMC3002766,S49,Settings 41 participants the study from conducted was october 2003 to may in at and centres 2005 europe and america. north,['4b'],1,random swap
PMC3002766,S50,"Settings and participants recruited patients were ≥18 years old, with ssc as defined by the preliminary classification criteria of the american college of rheumatology (acr)17 and at least one active du (onset between 1 week and 3 months prior to randomisation) that was selected by the investigator and termed the ‘cardinal ulcer’ (painful area, ≥2 mm in diameter with visible depth and loss of dermis, amenable to healing and in a location judged compatible with a vascular aetiology, specified by protocol as volar surface of the digit distal to the proximal interphalangeal digital crease).",['4a'],0,
PMC3002766,S51,"Settings and participants patients were excluded if they had received intravenous prostanoids within the previous 3 months, had used phosphodiesterase inhibitors other than for intermittent treatment of male erectile dysfunction, or had received inhaled or oral prostanoids or injected botulinum toxin in an affected finger within 1 month.",['4a'],0,
PMC3002766,S52,Settings and participants patients were also excluded if they received systemic antibiotics to treat infected dus within 2 weeks prior to randomisation.,['4a'],0,
PMC3002766,S53,"Settings and participants also excluded were patients with body weight <40 kg, severe pah (who class iii/iv), moderate to severe hepatic impairment or serum aminotransferase levels >3 times the upper limit of the normal range (uln).",['4a'],0,
PMC3002766,S54,Settings and participants contraceptive measures and monthly pregnancy testing were required during and for 3 months after the end of study treatment.,['0'],0,
PMC3002766,S56,"Randomisation and interventions after screening, patients were randomised to bosentan or placebo (1:1 ratio) by sequential allocation of randomisation numbers distributed to each centre in blocks of four.","['8a', '8b']",0,
PMC3002766,S56,Randomisation and intervention nursing after Screening procedure  patients were randomised to bosentán or PLCB (1:1 ratio) by sequential allocation of randomisation numbers distributed to each centre in Obstructions of four.,"['8a', '8b']",1,umls
PMC3002766,S57,Randomisation and interventions patients received bosentan 62.5 mg twice daily for 4 weeks and then 125 mg twice daily for the remainder of the treatment period or matching placebo.,['5'],0,
PMC3002766,S58,"Randomisation and interventions the dose could remain at or be decreased to the starting dose due to intolerance, with possible subsequent increase to the target dose.",['5'],0,
PMC3002766,S59,"Randomisation and interventions concomitant use of systemic antibiotics, analgaesics and topical treatments for wound care were allowed, and randomised treatment was administered in addition to the usual, stable (over the previous month) treatment for raynaud's phenomenon.",['5'],0,
PMC3002766,S60,"Randomisation and interventions patients who required parenteral, oral or inhaled prostanoid treatment during the study were first discontinued from study treatment.",['5'],0,
PMC3002766,S61,"Randomisation and interventions use of glibenclamide, fluconazole, calcineurin inhibitors or ciclosporin a was not allowed due to potential drug interactions.",['5'],0,
PMC3002766,S63,Outcomes the two primary end points were (1) the mean number of new dus per patient assessed by the investigator up to week 24 and (2) the time to healing of the cardinal ulcer up to week 24 in patients with cardinal ulcer healing maintained for 12 or more weeks.,['6a'],0,
